 time            -i(vdd)        
 2.60000000e-04 -1.26577369e-04 
 2.60100000e-04  1.83731682e-07 
 2.60200000e-04  1.75017581e-07 
 2.60300000e-04  1.72693916e-07 
 2.60400000e-04  1.70735780e-07 
 2.60500000e-04  1.70077365e-07 
 2.60600000e-04  1.76685588e-07 
 2.60700000e-04  1.75910752e-07 
 2.60800000e-04  1.75485194e-07 
 2.60900000e-04  1.75136815e-07 
 2.61000000e-04  1.74867290e-07 
 2.61100000e-04  1.56438847e-07 
 2.61200000e-04  1.54077959e-07 
 2.61300000e-04  1.53484101e-07 
 2.61400000e-04  1.53006530e-07 
 2.61500000e-04  1.52784636e-07 
 2.61600000e-04  1.38891926e-07 
 2.61700000e-04  1.37641115e-07 
 2.61800000e-04  1.37194540e-07 
 2.61900000e-04  1.36877198e-07 
 2.62000000e-04  1.36693188e-07 
 2.62100000e-04  1.61886004e-07 
 2.62200000e-04  1.60615896e-07 
 2.62300000e-04  1.60333453e-07 
 2.62400000e-04  1.60130137e-07 
 2.62500000e-04  1.60042800e-07 
 2.62600000e-04  1.48509691e-07 
 2.62700000e-04  1.47915829e-07 
 2.62800000e-04  1.47635472e-07 
 2.62900000e-04  1.47422027e-07 
 2.63000000e-04  1.47276927e-07 
 2.63100000e-04  1.99995050e-07 
 2.63200000e-04  1.94212030e-07 
 2.63300000e-04  1.92920970e-07 
 2.63400000e-04  1.91925322e-07 
 2.63500000e-04  1.91649998e-07 
 2.63600000e-04  1.78204484e-07 
 2.63700000e-04  1.77560614e-07 
 2.63800000e-04  1.77239880e-07 
 2.63900000e-04  1.76990603e-07 
 2.64000000e-04  1.76815048e-07 
 2.64100000e-04  1.72667905e-07 
 2.64200000e-04  1.68071337e-07 
 2.64300000e-04  1.67025036e-07 
 2.64400000e-04  1.66210736e-07 
 2.64500000e-04  1.65979204e-07 
 2.64600000e-04  1.53739549e-07 
 2.64700000e-04  1.53139353e-07 
 2.64800000e-04  1.52818451e-07 
 2.64900000e-04  1.52586596e-07 
 2.65000000e-04  1.52446606e-07 
 2.65100000e-04  1.66020166e-07 
 2.65200000e-04  1.65522423e-07 
 2.65300000e-04  1.65363644e-07 
 2.65400000e-04  1.65227562e-07 
 2.65500000e-04  1.65177892e-07 
 2.65600000e-04  1.51582094e-07 
 2.65700000e-04  1.51140593e-07 
 2.65800000e-04  1.50913561e-07 
 2.65900000e-04  1.50741504e-07 
 2.66000000e-04  1.50626162e-07 
 2.66100000e-04  1.66978248e-07 
 2.66200000e-04  1.66730641e-07 
 2.66300000e-04  1.66636851e-07 
 2.66400000e-04  1.66552376e-07 
 2.66500000e-04  1.66501961e-07 
 2.66600000e-04  1.55428267e-07 
 2.66700000e-04  1.55027148e-07 
 2.66800000e-04  1.54810620e-07 
 2.66900000e-04  1.54662149e-07 
 2.67000000e-04  1.54583889e-07 
 2.67100000e-04  1.66085176e-07 
 2.67200000e-04  1.65566767e-07 
 2.67300000e-04  1.65412155e-07 
 2.67400000e-04  1.65280397e-07 
 2.67500000e-04  1.65221616e-07 
 2.67600000e-04  1.51669973e-07 
 2.67700000e-04  1.51175833e-07 
 2.67800000e-04  1.50920326e-07 
 2.67900000e-04  1.50724789e-07 
 2.68000000e-04  1.50591120e-07 
 2.68100000e-04  1.66383481e-07 
 2.68200000e-04  1.66207874e-07 
 2.68300000e-04  1.66132332e-07 
 2.68400000e-04  1.66063985e-07 
 2.68500000e-04  1.66035811e-07 
 2.68600000e-04  1.53643572e-07 
 2.68700000e-04  1.53250821e-07 
 2.68800000e-04  1.53037315e-07 
 2.68900000e-04  1.52888098e-07 
 2.69000000e-04  1.52805201e-07 
 2.69100000e-04  1.66133721e-07 
 2.69200000e-04  1.65905615e-07 
 2.69300000e-04  1.65832972e-07 
 2.69400000e-04  1.65771992e-07 
 2.69500000e-04  1.65755409e-07 
 2.69600000e-04  1.52108351e-07 
 2.69700000e-04  1.51663425e-07 
 2.69800000e-04  1.51426540e-07 
 2.69900000e-04  1.51248207e-07 
 2.70000000e-04  1.51130275e-07 
 2.70100000e-04  1.68006228e-07 
 2.70200000e-04  1.67640399e-07 
 2.70300000e-04  1.67505166e-07 
 2.70400000e-04  1.67384611e-07 
 2.70500000e-04  1.67322405e-07 
 2.70600000e-04  1.57536334e-07 
 2.70700000e-04  1.57123130e-07 
 2.70800000e-04  1.56922330e-07 
 2.70900000e-04  1.56793403e-07 
 2.71000000e-04  1.56738619e-07 
 2.71100000e-04  1.66101011e-07 
 2.71200000e-04  1.65546307e-07 
 2.71300000e-04  1.65378403e-07 
 2.71400000e-04  1.65234851e-07 
 2.71500000e-04  1.65186573e-07 
 2.71600000e-04  1.51640734e-07 
 2.71700000e-04  1.51105693e-07 
 2.71800000e-04  1.50846014e-07 
 2.71900000e-04  1.50645635e-07 
 2.72000000e-04  1.50506430e-07 
 2.72100000e-04  1.66320853e-07 
 2.72200000e-04  1.66152101e-07 
 2.72300000e-04  1.66076851e-07 
 2.72400000e-04  1.66008177e-07 
 2.72500000e-04  1.65958892e-07 
 2.72600000e-04  1.53587569e-07 
 2.72700000e-04  1.53191713e-07 
 2.72800000e-04  1.52985605e-07 
 2.72900000e-04  1.52831953e-07 
 2.73000000e-04  1.52732412e-07 
 2.73100000e-04  1.66061863e-07 
 2.73200000e-04  1.65855091e-07 
 2.73300000e-04  1.65780972e-07 
 2.73400000e-04  1.65715757e-07 
 2.73500000e-04  1.65692790e-07 
 2.73600000e-04  1.52061522e-07 
 2.73700000e-04  1.51626688e-07 
 2.73800000e-04  1.51391010e-07 
 2.73900000e-04  1.51209421e-07 
 2.74000000e-04  1.51083624e-07 
 2.74100000e-04  1.67447769e-07 
 2.74200000e-04  1.67158000e-07 
 2.74300000e-04  1.67059500e-07 
 2.74400000e-04  1.66974618e-07 
 2.74500000e-04  1.66918309e-07 
 2.74600000e-04  1.55807133e-07 
 2.74700000e-04  1.55414326e-07 
 2.74800000e-04  1.55209529e-07 
 2.74900000e-04  1.55069593e-07 
 2.75000000e-04  1.54996563e-07 
 2.75100000e-04  1.66138223e-07 
 2.75200000e-04  1.65905567e-07 
 2.75300000e-04  1.65817813e-07 
 2.75400000e-04  1.65739241e-07 
 2.75500000e-04  1.65707891e-07 
 2.75600000e-04  1.52106781e-07 
 2.75700000e-04  1.51638985e-07 
 2.75800000e-04  1.51386204e-07 
 2.75900000e-04  1.51194223e-07 
 2.76000000e-04  1.51064956e-07 
 2.76100000e-04  1.66899388e-07 
 2.76200000e-04  1.66723035e-07 
 2.76300000e-04  1.66649743e-07 
 2.76400000e-04  1.66583673e-07 
 2.76500000e-04  1.66545980e-07 
 2.76600000e-04  1.54139414e-07 
 2.76700000e-04  1.53741261e-07 
 2.76800000e-04  1.53547062e-07 
 2.76900000e-04  1.53406327e-07 
 2.77000000e-04  1.53320737e-07 
 2.77100000e-04  1.66673103e-07 
 2.77200000e-04  1.66451327e-07 
 2.77300000e-04  1.66378164e-07 
 2.77400000e-04  1.66316175e-07 
 2.77500000e-04  1.66280031e-07 
 2.77600000e-04  1.52618604e-07 
 2.77700000e-04  1.52188798e-07 
 2.77800000e-04  1.51961677e-07 
 2.77900000e-04  1.51783377e-07 
 2.78000000e-04  1.51655431e-07 
 2.78100000e-04  1.69108736e-07 
 2.78200000e-04  1.68607131e-07 
 2.78300000e-04  1.68450628e-07 
 2.78400000e-04  1.68317274e-07 
 2.78500000e-04  1.68253718e-07 
 2.78600000e-04  1.59704756e-07 
 2.78700000e-04  1.59316577e-07 
 2.78800000e-04  1.59126653e-07 
 2.78900000e-04  1.59003019e-07 
 2.79000000e-04  1.58947762e-07 
 2.79100000e-04  1.66278120e-07 
 2.79200000e-04  1.65616869e-07 
 2.79300000e-04  1.65433695e-07 
 2.79400000e-04  1.65281682e-07 
 2.79500000e-04  1.65195893e-07 
 2.79600000e-04  1.51669671e-07 
 2.79700000e-04  1.51113059e-07 
 2.79800000e-04  1.50843452e-07 
 2.79900000e-04  1.50634669e-07 
 2.80000000e-04  1.50488619e-07 
 2.80100000e-04  1.66313844e-07 
 2.80200000e-04  1.66136135e-07 
 2.80300000e-04  1.66057958e-07 
 2.80400000e-04  1.65986935e-07 
 2.80500000e-04  1.65953927e-07 
 2.80600000e-04  1.53554791e-07 
 2.80700000e-04  1.53161656e-07 
 2.80800000e-04  1.52958791e-07 
 2.80900000e-04  1.52812877e-07 
 2.81000000e-04  1.52725702e-07 
 2.81100000e-04  1.66040942e-07 
 2.81200000e-04  1.65839452e-07 
 2.81300000e-04  1.65763135e-07 
 2.81400000e-04  1.65695188e-07 
 2.81500000e-04  1.65680317e-07 
 2.81600000e-04  1.52025415e-07 
 2.81700000e-04  1.51582155e-07 
 2.81800000e-04  1.51348826e-07 
 2.81900000e-04  1.51173990e-07 
 2.82000000e-04  1.51059483e-07 
 2.82100000e-04  1.67417070e-07 
 2.82200000e-04  1.67139670e-07 
 2.82300000e-04  1.67038465e-07 
 2.82400000e-04  1.66949056e-07 
 2.82500000e-04  1.66904935e-07 
 2.82600000e-04  1.55800008e-07 
 2.82700000e-04  1.55396009e-07 
 2.82800000e-04  1.55191554e-07 
 2.82900000e-04  1.55054766e-07 
 2.83000000e-04  1.54987768e-07 
 2.83100000e-04  1.66119369e-07 
 2.83200000e-04  1.65883861e-07 
 2.83300000e-04  1.65794152e-07 
 2.83400000e-04  1.65713939e-07 
 2.83500000e-04  1.65683613e-07 
 2.83600000e-04  1.52076167e-07 
 2.83700000e-04  1.51597643e-07 
 2.83800000e-04  1.51349641e-07 
 2.83900000e-04  1.51162640e-07 
 2.84000000e-04  1.51038551e-07 
 2.84100000e-04  1.66881582e-07 
 2.84200000e-04  1.66709412e-07 
 2.84300000e-04  1.66633384e-07 
