 time            -i(vdd)        
 2.60001000e-04 -7.21196628e-05 
 2.60003000e-04  3.67957463e-05 
 2.60004570e-04  4.58197669e-03 
 2.60005667e-04  1.70572651e-03 
 2.60006444e-04  2.80473364e-04 
 2.60007305e-04  1.42803825e-05 
 2.60008274e-04 -2.67542315e-05 
 2.60010000e-04 -2.99884604e-05 
 2.60010194e-04  6.60435869e-07 
 2.60010582e-04  3.54747190e-07 
 2.60011357e-04  4.13934633e-07 
 2.60012909e-04  3.66192601e-07 
 2.60016012e-04  3.13882554e-07 
 2.60022217e-04  2.65985843e-07 
 2.60034629e-04  2.25744256e-07 
 2.60059451e-04  1.96981442e-07 
 2.60109097e-04  1.80747956e-07 
 2.60208388e-04  1.74487952e-07 
 2.60406969e-04  1.70599829e-07 
 2.60510000e-04  1.70024189e-07 
 2.60511000e-04  1.65171434e-05 
 2.60513000e-04  1.20815216e-04 
 2.60514791e-04  2.19894038e-03 
 2.60516636e-04  1.18085803e-03 
 2.60517831e-04 -1.37111032e-04 
 2.60519129e-04  2.65957158e-05 
 2.60520000e-04  3.99827437e-05 
 2.60520161e-04  1.07427250e-06 
 2.60520484e-04 -3.19818811e-07 
 2.60521130e-04  1.30891193e-07 
 2.60522422e-04  1.86854589e-07 
 2.60525006e-04  1.80768397e-07 
 2.60530173e-04  1.79163378e-07 
 2.60540507e-04  1.78129094e-07 
 2.60561176e-04  1.77305071e-07 
 2.60602513e-04  1.76641858e-07 
 2.60685188e-04  1.75970406e-07 
 2.60850537e-04  1.75270645e-07 
 2.61000000e-04  1.74868316e-07 
 2.61001000e-04 -3.93377448e-05 
 2.61003000e-04  5.49673669e-05 
 2.61004570e-04  4.08954345e-03 
 2.61005667e-04  1.41901741e-03 
 2.61006444e-04  2.57315665e-04 
 2.61007305e-04  2.38636377e-05 
 2.61008275e-04 -1.23985439e-05 
 2.61010000e-04 -1.50648572e-05 
 2.61010194e-04  3.76264403e-07 
 2.61010582e-04  1.26108701e-07 
 2.61011358e-04  2.07356471e-07 
 2.61012911e-04  2.03025427e-07 
 2.61016015e-04  1.89862378e-07 
 2.61022225e-04  1.76834895e-07 
 2.61034643e-04  1.66287453e-07 
 2.61059481e-04  1.59459076e-07 
 2.61109155e-04  1.55770030e-07 
 2.61208505e-04  1.53921604e-07 
 2.61407204e-04  1.52947478e-07 
 2.61510000e-04  1.52763291e-07 
 2.61511000e-04  1.64989745e-05 
 2.61513000e-04  1.20804487e-04 
 2.61514793e-04  2.20279958e-03 
 2.61516639e-04  1.04783756e-03 
 2.61517835e-04 -1.09073056e-04 
 2.61519134e-04  2.83330777e-05 
 2.61520000e-04  3.99274902e-05 
 2.61520162e-04  1.07840769e-06 
 2.61520485e-04 -3.43232710e-07 
 2.61521131e-04  1.09877906e-07 
 2.61522424e-04  1.65276907e-07 
 2.61525009e-04  1.54659591e-07 
 2.61530180e-04  1.48412334e-07 
 2.61540522e-04  1.43801575e-07 
 2.61561206e-04  1.40617024e-07 
 2.61602574e-04  1.38771667e-07 
 2.61685310e-04  1.37704576e-07 
 2.61850781e-04  1.36970181e-07 
 2.62000000e-04  1.36692026e-07 
 2.62001000e-04 -3.93706778e-05 
 2.62003000e-04  5.48952872e-05 
 2.62004570e-04  3.80810195e-03 
 2.62005667e-04  1.49561229e-03 
 2.62006444e-04  2.59776165e-04 
 2.62007305e-04  2.32296203e-05 
 2.62008275e-04 -1.25432298e-05 
 2.62010000e-04 -1.51338673e-05 
 2.62010194e-04  1.60226367e-05 
 2.62010582e-04  1.56351174e-05 
 2.62011358e-04  1.60015548e-05 
 2.62012911e-04  3.17270010e-05 
 2.62014992e-04  2.98868728e-04 
 2.62017456e-04  7.15498339e-05 
 2.62019235e-04  2.45808223e-05 
 2.62020000e-04  3.25867541e-05 
 2.62020188e-04  3.63201882e-07 
 2.62020564e-04  9.75764404e-08 
 2.62021316e-04  1.91065083e-07 
 2.62022821e-04  1.87543776e-07 
 2.62025830e-04  1.78881336e-07 
 2.62031847e-04  1.71621723e-07 
 2.62043883e-04  1.66220559e-07 
 2.62067953e-04  1.63007687e-07 
 2.62116095e-04  1.61313635e-07 
 2.62212377e-04  1.60514418e-07 
 2.62404943e-04  1.60120729e-07 
 2.62510000e-04  1.60029223e-07 
 2.62511000e-04  1.65062387e-05 
 2.62513000e-04  1.20811864e-04 
 2.62514791e-04  2.19924681e-03 
 2.62516636e-04  1.16414959e-03 
 2.62517831e-04 -1.35351984e-04 
 2.62519129e-04  2.70866960e-05 
 2.62520000e-04  3.99627968e-05 
 2.62520161e-04  1.07684101e-06 
 2.62520484e-04 -3.59194082e-07 
 2.62521130e-04  9.95206140e-08 
 2.62522422e-04  1.59483854e-07 
 2.62525006e-04  1.53004242e-07 
 2.62530173e-04  1.51128841e-07 
 2.62540507e-04  1.49968424e-07 
 2.62561175e-04  1.49102421e-07 
 2.62602511e-04  1.48472129e-07 
 2.62685184e-04  1.47959317e-07 
 2.62850529e-04  1.47488326e-07 
 2.63000000e-04  1.47279350e-07 
 2.63001000e-04 -3.93585701e-05 
 2.63003000e-04  5.48960632e-05 
 2.63004570e-04  4.20245936e-03 
 2.63005667e-04  1.43957865e-03 
 2.63006444e-04  2.47908963e-04 
 2.63007305e-04  2.14843397e-05 
 2.63008275e-04 -1.21511319e-05 
 2.63010000e-04 -1.47198562e-05 
 2.63010194e-04  5.95231746e-07 
 2.63010582e-04  2.45511022e-07 
 2.63011358e-04  3.02642633e-07 
 2.63012911e-04  3.02777731e-07 
 2.63016015e-04  2.80691449e-07 
 2.63022225e-04  2.50734780e-07 
 2.63034643e-04  2.24913863e-07 
 2.63059481e-04  2.07618413e-07 
 2.63109155e-04  1.98270611e-07 
 2.63208505e-04  1.93830606e-07 
 2.63407204e-04  1.91853326e-07 
 2.63510000e-04  1.91625043e-07 
 2.63511000e-04  1.65379811e-05 
 2.63513000e-04  1.20842271e-04 
 2.63514793e-04  2.20277811e-03 
 2.63516639e-04  1.08838352e-03 
 2.63517835e-04 -1.18664401e-04 
 2.63519134e-04  2.79004248e-05 
 2.63520000e-04  3.99592221e-05 
 2.63520162e-04  1.10627845e-06 
 2.63520485e-04 -3.25090881e-07 
 2.63521131e-04  1.31472898e-07 
 2.63522424e-04  1.90273076e-07 
 2.63525009e-04  1.83084650e-07 
 2.63530180e-04  1.80849857e-07 
 2.63540522e-04  1.79570598e-07 
 2.63561206e-04  1.78740978e-07 
 2.63602574e-04  1.78163547e-07 
 2.63685309e-04  1.77618842e-07 
 2.63850780e-04  1.77078199e-07 
 2.64000000e-04  1.76815175e-07 
 2.64001000e-04 -3.93290924e-05 
 2.64003000e-04  5.49260291e-05 
 2.64004570e-04  4.18509853e-03 
